Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Belarus,BLR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,0.500152230262756,..,..,..,0.631275475025177,..,..
Belarus,BLR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,0.306034743785858,..,..,..,0.349433064460754,..,..
Belgium,BEL,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,0.932307064533234,..,..,..,0.915110528469086,..,..
Belgium,BEL,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,0.821403324604034,0.817199528217316,0.779588103294373,0.755663156509399,0.739781200885773,..,..
Belgium,BEL,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.64160281419754,..,..,..,0.503821909427643,..,..
Belgium,BEL,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,0.829260766506195,..,..,..,0.748153209686279,..,..
Belgium,BEL,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,0.903548061847687,..,..,..,0.698713302612305,..,..
Belize,BLZ,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,1.40957307815552,..,..,..,1.26920175552368,..,..
Belize,BLZ,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,1.3325412273407,1.25734794139862,1.16579496860504,1.0735672712326,1.01514601707458,..,..
Belize,BLZ,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.846950531005859,..,..,..,0.685729742050171,..,..
Belize,BLZ,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9280000:TOTAL CONSUMPTION,9280000,1.29324960708618,..,..,..,1.01618099212646,..,..
Belize,BLZ,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",9060000,1.18830633163452,..,..,..,0.639097273349762,..,..
Benin,BEN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,"1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",1105000,234.945205688477,..,..,..,267.726593017578,..,..
Benin,BEN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9020000:ACTUAL INDIVIDUAL CONSUMPTION,9020000,197.504699707031,199.005157470703,194.886337280273,197.989944458008,198.450805664063,..,..
Benin,BEN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,135.902465820313,..,..,..,132.353469848633,..,..
